{;year: 1901;firsName:  Sully;lastName:  Prudhomme;gender: M;language: Francés;}
{;year: 1902;firsName:  Theodor;lastName:  Mommsen;gender: M;language: Alemán;}
{;year: 1903;firsName:  Bjørnstjerne;lastName:  Bjørnson;gender: M;language: Noruego;}
{;year: 1904;firsName:  Frédéric;lastName:  Mistral;gender: M;language: Occitano;}
{;year: 1904;firsName:  José;lastName:  de Echegaray;gender: M;language: Español;}
{;year: 1905;firsName:  Henryk;lastName:  Sienkiewicz;gender: M;language: Polaco;}
{;year: 1906;firsName:  Giosuè;lastName:  Carducci;gender: M;language: Italiano;}
{;year: 1907;firsName:  Rudyard;lastName:  Kipling;gender: M;language: Inglés;}
{;year: 1908;firsName:  Rudolf Christoph;lastName:  Eucken;gender: M;language: Alemán;}
{;year: 1909;firsName:  Selma;lastName:  Lagerlöf;gender: F;language: Sueco;}
{;year: 1910;firsName:  Paul;lastName:  von Heyse;gender: M;language: Alemán;}
{;year: 1911;firsName:  Maurice;lastName:  Maeterlinck;gender: M;language: Francés;}
{;year: 1912;firsName:  Gerhart;lastName:  Hauptmann;gender: M;language: Alemán;}
{;year: 1913;firsName:  Rabindranath;lastName:  Tagore;gender: M;language: Bengalí;}
{;year: 1915;firsName:  Romain;lastName:  Rolland;gender: M;language: Francés;}
{;year: 1916;firsName:  Verner;lastName:  von Heidenstam;gender: M;language: Sueco;}
{;year: 1917;firsName:  Karl Adolph;lastName:  Gjellerup;gender: M;language: Danés;}
{;year: 1917;firsName:  Henrik;lastName:  Pontoppidan;gender: M;language: Danés;}
{;year: 1919;firsName:  Carl;lastName:  Spitteler;gender: M;language: Alemán;}
{;year: 1920;firsName:  Knut;lastName:  Hamsun;gender: M;language: Noruego;}
{;year: 1921;firsName:  Anatole;lastName:  France;gender: M;language: Francés;}
{;year: 1922;firsName:  Jacinto;lastName:  Benavente;gender: M;language: Español;}
{;year: 1923;firsName:  William Butler;lastName:  Yeats;gender: M;language: Inglés;}
{;year: 1924;firsName:  Wladyslaw;lastName:  Reymont;gender: M;language: Polaco;}
{;year: 1925;firsName:  George Bernard;lastName:  Shaw;gender: M;language: Inglés;}
{;year: 1926;firsName:  Grazia;lastName:  Deledda;gender: F;language: Italiano;}
{;year: 1927;firsName:  Henri;lastName:  Bergson;gender: M;language: Francés;}
{;year: 1928;firsName:  Sigrid;lastName:  Undset;gender: F;language: Noruego;}
{;year: 1929;firsName:  Thomas;lastName:  Mann;gender: M;language: Alemán;}
{;year: 1930;firsName:  Sinclair;lastName:  Lewis;gender: M;language: Inglés;}
{;year: 1931;firsName:  Erik Axel;lastName:  Karlfeldt;gender: M;language: Sueco;}
{;year: 1932;firsName:  John;lastName:  Galsworthy;gender: M;language: Inglés;}
{;year: 1933;firsName:  Iván;lastName:  Bunin;gender: M;language: Ruso;}
{;year: 1934;firsName:  Luigi;lastName:  Pirandello;gender: M;language: Italiano;}
{;year: 1936;firsName:  Eugene;lastName:  O'Neill;gender: M;language: Inglés;}
{;year: 1937;firsName:  Roger;lastName:  Martin du Gard;gender: M;language: Francés;}
{;year: 1938;firsName:  Pearl;lastName:  S. Buck;gender: F;language: Inglés;}
{;year: 1939;firsName:  Frans Eemil;lastName:   Sillanpää;gender: M;language: Finés;}
{;year: 1944;firsName:  Johannes Vilhelm;lastName:   Jensen;gender: M;language: Danés;}
{;year: 1945;firsName:  Gabriela;lastName:  Mistral;gender: F;language: Español;}
{;year: 1946;firsName:  Hermann;lastName:  Hesse;gender: M;language: Alemán;}
{;year: 1947;firsName:  André;lastName:  Gide;gender: M;language: Francés;}
{;year: 1948;firsName:  T.;lastName:  S. Eliot;gender: M;language: Inglés;}
{;year: 1949;firsName:  William;lastName:  Faulkner;gender: M;language: Inglés;}
{;year: 1950;firsName:  Bertrand;lastName:  Russell;gender: M;language: Inglés;}
{;year: 1951;firsName:  Pär Fabien;lastName:   Lagerkvist;gender: M;language: Sueco;}
{;year: 1952;firsName:  François;lastName:  Mauriac;gender: M;language: Francés;}
{;year: 1953;firsName:  Winston;lastName:  Churchill;gender: M;language: Inglés;}
{;year: 1954;firsName:  Ernest;lastName:  Hemingway;gender: M;language: Inglés;}
{;year: 1955;firsName:  Halldór;lastName:  Laxness;gender: M;language: Islandés;}
{;year: 1956;firsName:  Juan Ramón;lastName:  Jiménez;gender: M;language: Español;}
{;year: 1957;firsName:  Albert;lastName:  Camus;gender: M;language: Francés;}
{;year: 1958;firsName:  Borís;lastName:  Pasternak[4];gender: M;language: Ruso;}
{;year: 1959;firsName:  Salvatore;lastName:  Quasimodo;gender: M;language: Italiano;}
{;year: 1960;firsName:  Saint-John;lastName:  Perse;gender: M;language: Francés;}
{;year: 1961;firsName:  Ivo;lastName:  Andric;gender: M;language: Serbocroata;}
{;year: 1962;firsName:  John;lastName:  Steinbeck;gender: M;language: Inglés;}
{;year: 1963;firsName:  Giorgos;lastName:  Seferis;gender: M;language: Griego;}
{;year: 1964;firsName:  Jean-Paul;lastName:  Sartre[5];gender: M;language: Francés;}
{;year: 1965;firsName:  Mijaíl;lastName:  Shólojov;gender: M;language: Ruso;}
{;year: 1966;firsName:  Shmuel Yosef;lastName:  Agnon;gender: M;language: Hebreo;}
{;year: 1966;firsName:  Nelly;lastName:  Sachs;gender: M;language: Alemán;}
{;year: 1967;firsName:  Miguel Ángel;lastName:  Asturias;gender: M;language: Español;}
{;year: 1968;firsName:  Yasunari;lastName:  Kawabata;gender: M;language: Japonés;}
{;year: 1969;firsName:  Samuel;lastName:  Beckett;gender: M;language: Inglés/Francés;}
