{;year: 1970;firsName:  Aleksandr Isaevich;lastName:  Solzhenitsyn;gender: M;language: Ruso;}
{;year: 1971;firsName:  Pablo;lastName:  Neruda;gender: M;language: Español;}
{;year: 1972;firsName:  Heinrich;lastName:  Böll;gender: M;language: Alemán;}
{;year: 1973;firsName:  Patrick;lastName:  White;gender: M;language: Inglés;}
{;year: 1974;firsName:  Eyvind;lastName:  Johnson;gender: M;language: Sueco;}
{;year: 1974;firsName:  Harry;lastName:  Martinson;gender: M;language: Sueco;}
{;year: 1975;firsName:  Eugenio;lastName:  Montale;gender: M;language: Italiano;}
{;year: 1976;firsName:  Saul;lastName:  Bellow;gender: M;language: Inglés;}
{;year: 1977;firsName:  Vicente;lastName:  Aleixandre;gender: M;language: Español;}
{;year: 1978;firsName:  Isaac Bashevis;lastName:  Singer;gender: M;language: Yiddish;}
{;year: 1979;firsName:  Odysseus;lastName:  Elytis;gender: M;language: Griego;}
{;year: 1980;firsName:  Czeslaw;lastName:  Milosz;gender: M;language: Polaco;}
{;year: 1981;firsName:  Elias;lastName:  Canetti;gender: M;language: Alemán;}
{;year: 1982;firsName:  Gabriel;lastName:  García Márquez;gender: M;language: Español;}
{;year: 1983;firsName:  William;lastName:  Golding;gender: M;language: Inglés;}
{;year: 1984;firsName:  Jaroslav;lastName:  Seifert;gender: M;language: Checo;}
{;year: 1985;firsName:  Claude;lastName:  Simon;gender: M;language: Francés;}
{;year: 1986;firsName:  Wole;lastName:  Soyinka;gender: M;language: Inglés;}
{;year: 1987;firsName:  Joseph;lastName:  Brodsky;gender: M;language: Ruso/Inglés;}
{;year: 1988;firsName:  Naguib;lastName:  Mahfouz;gender: M;language: Árabe;}
{;year: 1989;firsName:  Camilo José;lastName:  Cela;gender: M;language: Español;}
{;year: 1990;firsName:  Octavio;lastName:  Paz;gender: M;language: Español;}
{;year: 1991;firsName:  Nadine;lastName:  Gordimer;gender: F;language: Inglés;}
{;year: 1992;firsName:  Derek;lastName:  Walcott;gender: M;language: Inglés;}
{;year: 1993;firsName:  Toni;lastName:  Morrison;gender: F;language: Inglés;}
{;year: 1994;firsName:  Kenzaburo;lastName:  Oe;gender: M;language: Japonés;}
{;year: 1995;firsName:  Seamus;lastName:  Heaney;gender: M;language: Inglés;}
{;year: 1996;firsName:  Wislawa;lastName:  Szymborska;gender: F;language: Polaco;}
{;year: 1997;firsName:  Dario;lastName:  Fo;gender: M;language: Italiano;}
{;year: 1998;firsName:  José;lastName:  Saramago;gender: M;language: Portugués;}
{;year: 1999;firsName:  Günter;lastName:  Grass;gender: M;language: Alemán;}
{;year: 2000;firsName:  Gao;lastName:  Xingjian;gender: M;language: Chino;}
{;year: 2001;firsName:  Vidiadhar Surajprasad;lastName:  Naipaul;gender: M;language: Inglés;}
{;year: 2002;firsName:  Imre;lastName:  Kertész;gender: M;language: Húngaro;}
{;year: 2003;firsName:  John Maxwell;lastName:  Coetzee;gender: M;language: Inglés;}
{;year: 2004;firsName:  Elfriede;lastName:  Jelinek;gender: F;language: Alemán;}
{;year: 2005;firsName:  Harold;lastName:  Pinter;gender: M;language: Inglés;}
{;year: 2006;firsName:  Orhan;lastName:  Pamuk;gender: M;language: Turco;}
{;year: 2007;firsName:  Doris;lastName:  Lessing;gender: F;language: Inglés;}
{;year: 2008;firsName:  Jean-Marie Gustave;lastName:  Le Clézio;gender: M;language: Francés;}
{;year: 2009;firsName:  Herta;lastName:  Müller;gender: F;language: Rumano/Alemán;}
{;year: 2010;firsName:  Mario;lastName:  Vargas Llosa;gender: M;language: Español;}
{;year: 2011;firsName:  Tomas;lastName:  Tranströmer;gender: M;language: Sueco;}
{;year: 2012;firsName:  Mo;lastName:  Yan;gender: M;language: Chino;}
{;year: 2013;firsName:  Alice;lastName:  Munro;gender: F;language: Ingles;}
{;year: 2014;firsName:  Patrick;lastName:  Modiano;gender: M;language: Francés;}
{;year: 2015;firsName:  Svetlana;lastName:  Alexievich;gender: F;language: Francés;}
